iter	Passed	Remaining
789	6265	1665
790	6274	1657
791	6283	1650
792	6294	1643
793	6301	1634
794	6309	1626
795	6318	1619
796	6325	1611
797	6332	1603
798	6339	1594
799	6345	1586
800	6351	1578
801	6358	1569
802	6364	1561
803	6370	1553
804	6376	1544
805	6383	1536
806	6389	1528
807	6395	1519
808	6401	1511
809	6407	1502
810	6413	1494
811	6423	1487
812	6429	1478
813	6435	1470
814	6441	1462
815	6447	1453
816	6456	1446
817	6462	1437
818	6471	1430
819	6487	1424
820	6498	1416
821	6508	1409
822	6514	1401
823	6521	1392
824	6527	1384
825	6533	1376
826	6539	1367
827	6544	1359
828	6550	1351
829	6556	1342
830	6563	1334
831	6569	1326
832	6575	1318
833	6581	1310
834	6588	1301
835	6594	1293
836	6600	1285
837	6607	1277
838	6613	1269
839	6619	1260
840	6625	1252
841	6631	1244
842	6636	1236
843	6643	1227
844	6649	1219
845	6655	1211
846	6662	1203
847	6668	1195
848	6677	1187
849	6686	1179
850	6703	1173
851	6714	1166
852	6721	1158
853	6728	1150
854	6734	1142
855	6740	1133
856	6746	1125
857	6752	1117
858	6758	1109
859	6764	1101
860	6770	1093
861	6776	1084
862	6783	1076
863	6789	1068
864	6795	1060
865	6802	1052
866	6810	1044
867	6816	1036
868	6822	1028
869	6828	1020
870	6835	1012
871	6841	1004
872	6847	996
873	6853	988
874	6860	980
875	6867	972
876	6882	965
877	6893	957
878	6899	949
879	6906	941
880	6913	933
881	6918	925
882	6925	917
883	6931	909
884	6937	901
885	6944	893
886	6950	885
887	6956	877
888	6962	869
889	6968	861
890	6974	853
891	6979	845
892	6985	837
893	6992	829
894	6997	820
895	7004	812
896	7010	804
897	7015	796
898	7022	788
899	7028	780
900	7034	772
901	7040	764
902	7046	756
903	7052	748
904	7059	741
905	7069	733
906	7079	725
907	7089	718
908	7097	710
909	7108	703
910	7115	695
911	7121	687
912	7127	679
913	7134	671
914	7140	663
915	7146	655
916	7152	647
917	7157	639
918	7163	631
919	7169	623
920	7175	615
921	7183	607
922	7191	599
923	7196	591
924	7202	584
925	7208	576
926	7214	568
927	7221	560
928	7226	552
929	7232	544
930	7237	536
931	7243	528
932	7249	520
933	7255	512
934	7262	504
935	7270	497
936	7286	489
937	7300	482
938	7308	474
939	7315	466
940	7321	459
941	7327	451
942	7334	443
943	7339	435
944	7346	427
945	7351	419
946	7358	411
947	7364	403
948	7369	396
949	7375	388
950	7382	380
951	7388	372
952	7394	364
953	7401	356
954	7407	349
955	7413	341
956	7419	333
957	7427	325
958	7435	317
959	7442	310
960	7449	302
961	7457	294
962	7467	286
963	7476	279
964	7487	271
965	7499	263
966	7505	256
967	7511	248
968	7517	240
969	7523	232
970	7530	224
971	7536	217
972	7542	209
973	7548	201
974	7554	193
975	7560	185
976	7567	178
977	7573	170
978	7579	162
979	7585	154
980	7591	147
981	7597	139
982	7603	131
983	7609	123
984	7615	115
985	7621	108
986	7626	100
987	7633	92
988	7640	84
989	7646	77
990	7653	69
991	7659	61
992	7665	54
993	7674	46
994	7693	38
995	7703	30
996	7712	23
997	7719	15
998	7725	7
999	7731	0
