iter	MultiClass
148	0.2013371505
149	0.2006421477
150	0.2003396018
151	0.1998766318
152	0.1995130196
153	0.19896318
154	0.1988384841
155	0.1981044803
156	0.1967666384
157	0.1959702484
158	0.1958305561
159	0.1956565488
160	0.1954214559
161	0.1950101288
162	0.1947216376
163	0.194350057
164	0.1939725944
165	0.19324681
166	0.1928569554
167	0.1923088062
168	0.1917178878
169	0.1913159204
170	0.1906965632
171	0.1903355623
172	0.1901025608
173	0.1892995841
174	0.1883643404
175	0.1878297849
176	0.1874499155
177	0.1866244466
178	0.1857622312
179	0.1851309925
180	0.185019251
181	0.1846263855
182	0.1845139704
183	0.1843544858
184	0.1841566521
185	0.1840063816
186	0.1835863564
187	0.183491703
188	0.1829663993
189	0.1826368827
190	0.1819613562
191	0.1810561255
192	0.1804621763
193	0.1801119685
194	0.1800128656
195	0.1793110754
196	0.1790426943
197	0.1785779776
198	0.1783276462
199	0.1779748763
200	0.1774514789
201	0.1771796849
202	0.1767900548
203	0.1763821509
204	0.17616359
205	0.1755396201
206	0.1751184399
207	0.1749262438
208	0.1747632178
209	0.1737277587
210	0.1733961841
211	0.1730309059
212	0.172692899
213	0.1720399505
214	0.171949873
215	0.1714358655
216	0.1704625963
217	0.169773152
218	0.1696717697
219	0.1689672893
220	0.1685308677
221	0.1679300217
222	0.1677766673
223	0.1672071937
224	0.166736335
225	0.1663151221
226	0.166060529
227	0.1653607506
228	0.1646586296
229	0.1642559713
230	0.1639868737
231	0.1635270773
232	0.163250745
233	0.1627134065
234	0.1624748202
235	0.1620176245
236	0.1618355455
237	0.1612976066
238	0.1612216924
239	0.160693418
240	0.1604612771
241	0.1603383651
242	0.1602047252
243	0.1599813031
244	0.159544505
245	0.159442626
246	0.1594231
247	0.1589604158
248	0.1588018548
249	0.1583610237
250	0.1576317736
251	0.1573372725
252	0.1571557513
253	0.1565944295
254	0.1564891098
255	0.1559172855
256	0.1557619595
257	0.1555023162
258	0.1550344222
259	0.154910459
260	0.1547057781
261	0.1543952412
262	0.1537735387
263	0.1535022917
264	0.1533286771
265	0.1530061029
266	0.1525580815
267	0.152175358
268	0.1519268016
269	0.1514780527
270	0.1510961737
271	0.150985796
272	0.1506215051
273	0.1504834951
274	0.149877198
275	0.1495993294
276	0.1494488556
277	0.1493212028
278	0.1493094267
279	0.1491154622
280	0.1486611341
281	0.1485004998
282	0.1477461091
283	0.1475064376
284	0.147243121
285	0.1468583257
286	0.146378805
287	0.1460196276
288	0.145821368
289	0.1455931052
290	0.1452229056
291	0.1447910226
292	0.144287322
293	0.1439661243
294	0.1434836657
295	0.1433156463
296	0.1430261788
297	0.1427430088
298	0.1425263524
299	0.1418648111
300	0.1416279724
301	0.1414935595
302	0.1411318923
303	0.1409144146
304	0.1405676774
305	0.1400492135
306	0.1398684225
307	0.139733532
308	0.139537877
309	0.1388986005
310	0.1383048609
311	0.1381735716
312	0.1376262763
313	0.1372812563
314	0.1369337463
315	0.136804443
316	0.1364600484
317	0.1359753295
318	0.1355825726
319	0.1353541218
320	0.1347963257
321	0.1343247661
322	0.1340520033
323	0.1338426216
324	0.1334038576
325	0.1331133374
326	0.132644969
327	0.1325969694
328	0.1322847656
329	0.132236052
330	0.1317650274
331	0.1316132594
332	0.1314463453
333	0.131319106
334	0.1311149243
335	0.130732445
336	0.1303797081
337	0.1301671988
338	0.130064633
339	0.1297016884
340	0.1293418643
341	0.1290376546
342	0.1289047539
343	0.1285841255
344	0.1284418725
345	0.1283448537
346	0.1280842505
347	0.1276841597
348	0.1275803042
349	0.1274571097
350	0.1271310279
351	0.1268132726
352	0.1266280124
353	0.1263759769
354	0.1259821298
355	0.1257567329
356	0.1256363607
357	0.1255290662
358	0.1254129191
359	0.1249586615
360	0.1246351539
361	0.1242157716
362	0.1240214688
363	0.1237328829
364	0.1236085677
365	0.1234428041
366	0.1232599029
367	0.1228005295
368	0.1226885504
369	0.1225872998
370	0.1222841549
371	0.1220895498
372	0.1218508204
373	0.1215741488
374	0.121472753
375	0.1213257756
376	0.1209012059
377	0.120796435
378	0.120613097
379	0.1203662269
380	0.1202889897
381	0.1200274909
382	0.1198463239
383	0.1193699775
384	0.1189885712
385	0.1189244131
386	0.1186648527
387	0.1186053524
388	0.1183531592
389	0.1181389177
390	0.1179668151
391	0.1176256499
392	0.1175010014
393	0.1171633519
394	0.1170078508
395	0.1168940333
396	0.1167830883
397	0.1167065721
398	0.1165074815
399	0.1162124092
400	0.1160039361
401	0.115849743
402	0.1156893977
403	0.1154277284
404	0.1151620781
405	0.114796887
406	0.1145564465
407	0.1143221218
408	0.1142216015
409	0.1141390394
410	0.1140477937
411	0.1138566745
412	0.1136001318
413	0.1134277142
414	0.1133695095
415	0.1132916071
416	0.1131268971
417	0.1129080096
418	0.1127692882
419	0.1127328079
420	0.1124188855
421	0.1123425687
422	0.1122118939
423	0.1120969158
424	0.1119686749
425	0.1116004707
426	0.1114528727
427	0.1112985467
428	0.1111848071
429	0.1110847685
430	0.1107114209
431	0.1105994271
432	0.1105247844
433	0.1103161195
434	0.1102265166
435	0.1101314436
436	0.1099483086
437	0.1094737687
438	0.1094234629
439	0.10928824
440	0.1092044846
441	0.1088705968
442	0.1087563036
443	0.1084648877
444	0.1081976053
445	0.1079065734
446	0.1078017141
447	0.107666189
448	0.1074493965
449	0.1072940298
450	0.107149784
451	0.1067162006
452	0.1064106007
453	0.1062739528
454	0.1061706091
455	0.1060007286
456	0.1059417989
457	0.1058398632
458	0.105609209
459	0.1054432979
460	0.1051221577
461	0.1047687185
462	0.1046402892
463	0.1042982737
464	0.104114943
465	0.1040791033
466	0.1039643822
467	0.1038963362
468	0.1037640198
469	0.1035049494
470	0.103443532
471	0.1031117246
472	0.1029152068
473	0.1028495579
474	0.1027679538
475	0.1025540776
476	0.1023749383
477	0.1023327093
478	0.1021653459
479	0.1020728309
480	0.1017929303
481	0.101599206
482	0.1014097784
483	0.101336221
484	0.1012476819
485	0.1010305475
486	0.1008022351
487	0.1005903077
488	0.1004332778
489	0.1003456987
490	0.1002189545
491	0.099989892
492	0.09975035241
493	0.09933395868
494	0.09916712436
495	0.098958794
496	0.09869450394
497	0.09849029625
498	0.09834528211
499	0.09816200483
500	0.09801733354
501	0.0978002706
502	0.09750193706
503	0.09744748722
504	0.09732137136
505	0.09727494592
506	0.09725390353
507	0.09711913968
508	0.09686273496
509	0.09671506127
510	0.09666952111
511	0.09634384012
512	0.09624205732
513	0.09606752063
514	0.09592761864
515	0.09566234463
516	0.09560428255
517	0.09549249196
518	0.0954230797
519	0.09535415473
520	0.09523814158
521	0.0951928015
522	0.09505051142
523	0.09497112334
524	0.09488378642
525	0.094791216
526	0.09473496535
527	0.09460924229
528	0.09456886692
529	0.09430931172
530	0.09425809884
531	0.09420017438
532	0.09398668896
533	0.09391430529
534	0.09374551499
535	0.09366211956
536	0.09314554954
537	0.0930751072
538	0.09296096349
539	0.09291458517
540	0.0924309112
541	0.09226234758
542	0.09216431423
543	0.09214357068
544	0.09196032745
545	0.09180809739
546	0.09163110197
547	0.09135203201
548	0.09123479137
549	0.09099962484
550	0.09088217858
551	0.09073472129
552	0.09052226805
553	0.09045475302
554	0.09032510916
555	0.09016473502
556	0.08989591799
557	0.08972715856
558	0.08956544482
559	0.0894148811
560	0.08913363261
561	0.08887297194
562	0.08881541937
563	0.08867875888
564	0.0884594571
565	0.08833893052
566	0.08824665165
567	0.08813813538
568	0.08810259872
569	0.08790931146
570	0.08776837944
571	0.08766744004
572	0.08743210114
573	0.08708007155
574	0.08691143921
575	0.08669560453
576	0.08662070551
577	0.08653039422
578	0.08639155153
579	0.08619469051
580	0.08603036061
581	0.0859605052
582	0.08586893433
583	0.08550947193
584	0.08528098397
585	0.08507263044
586	0.08503253233
587	0.08496685456
588	0.08491894845
589	0.08485191129
590	0.0846170125
591	0.08442632885
592	0.08433726381
593	0.0841383767
594	0.08408824197
595	0.08405715731
596	0.08377860254
597	0.08360359423
598	0.08355081034
599	0.08348169849
600	0.08328778078
601	0.08310252587
602	0.0830591948
603	0.08287740889
604	0.08278089363
605	0.08268666359
606	0.08259396643
607	0.08255377776
608	0.08243549919
609	0.08234487335
610	0.08214999464
611	0.0819453067
612	0.08187119341
613	0.08182491427
614	0.08169491844
615	0.08162029434
616	0.0815595833
617	0.08142003904
618	0.08124480082
619	0.08104236001
620	0.08089660479
621	0.08055719056
622	0.08036804543
623	0.08020905786
624	0.08014042751
625	0.08006153638
626	0.07997210618
627	0.079720109
628	0.07958804875
629	0.07946855595
630	0.0791722568
631	0.07913255358
632	0.07900339884
633	0.07882146965
634	0.0787026484
635	0.07862024251
636	0.07851303425
637	0.0782372409
638	0.07819065463
639	0.07803654678
640	0.07799441914
641	0.07790496397
642	0.07767351678
643	0.07754510235
644	0.07739733505
645	0.07732848913
646	0.07730350997
647	0.07721903779
648	0.07705133583
649	0.07694624326
650	0.07689689963
651	0.0766460896
652	0.07648180165
653	0.07634007991
654	0.07629152292
655	0.07615041696
656	0.07608834538
657	0.07602726515
658	0.07594514438
659	0.07582926687
660	0.07568491378
661	0.07558815893
662	0.07545633974
663	0.07532999699
664	0.07518990408
665	0.07515315113
666	0.07486313089
667	0.07473461578
668	0.07461504242
669	0.07453928923
670	0.07453543382
671	0.07450463479
672	0.0744241693
673	0.07440683256
674	0.07427783965
675	0.07417695858
676	0.07414744765
677	0.07405332177
678	0.07397062902
679	0.07386854793
680	0.07378057895
681	0.07372005305
682	0.07364617215
683	0.07359847095
684	0.07345037409
685	0.07317516402
686	0.07313004907
687	0.0730762863
688	0.07296027381
689	0.07283757215
690	0.07276847243
691	0.07264948395
692	0.07259957269
693	0.07254089043
694	0.07248841206
695	0.0723119803
696	0.07220008606
697	0.07207340763
698	0.07181453959
699	0.07177304407
700	0.07166646428
701	0.07162243672
702	0.07148557267
703	0.07137778239
704	0.07126640902
705	0.07121474928
706	0.07114438074
707	0.07103183146
708	0.07098267317
709	0.07089716541
710	0.07083788858
711	0.07064239664
712	0.07058122161
713	0.07055045345
714	0.0704516064
715	0.07036800019
716	0.07028582567
717	0.07023845734
718	0.06999574178
719	0.06991093197
720	0.06981207935
721	0.06978456276
722	0.06957710541
723	0.06932368569
724	0.06926701859
725	0.06921877925
726	0.06908995426
727	0.0688709989
728	0.06877305838
729	0.06870910264
730	0.06866259048
731	0.06850147889
732	0.06838840333
733	0.0683620092
734	0.06833002383
735	0.06823795283
736	0.06811846296
737	0.06797864457
738	0.06782825173
739	0.06779536789
740	0.06775270416
741	0.06764175573
742	0.0675672611
743	0.06750264854
744	0.06744910183
745	0.06731200417
746	0.06721186529
747	0.0671714054
748	0.06707869486
749	0.06700274504
750	0.06690621545
751	0.06682394561
752	0.0667777705
753	0.06673576055
754	0.06666439995
755	0.06665160853
756	0.06653023065
757	0.0664458301
758	0.06629010723
759	0.06616044182
760	0.06596909811
761	0.0658220023
762	0.06568380518
763	0.06558987658
764	0.06542221821
765	0.06539834515
766	0.06529054743
767	0.06520730733
768	0.06490814115
769	0.06463009603
770	0.06457671877
771	0.06447463019
772	0.0644047746
773	0.06430553401
774	0.06417308954
775	0.06410893707
776	0.06402713953
777	0.06397816205
778	0.06395896943
779	0.0637854608
780	0.06368613101
781	0.06363527993
782	0.06352756186
783	0.06348382618
784	0.06344689616
785	0.06330192014
786	0.06314710009
787	0.06306992175
788	0.06303231303
789	0.06300475563
790	0.06286509576
791	0.06280328222
792	0.06275431002
793	0.06269512101
794	0.06250561714
795	0.06237869682
796	0.06218001289
797	0.06210988721
798	0.06205712392
799	0.06200893848
800	0.06198768112
801	0.06188705801
802	0.06184994128
803	0.06176102279
804	0.06160352776
805	0.06152041612
806	0.06138886063
807	0.06125561323
808	0.06123354654
809	0.06115672846
810	0.06111956857
811	0.06097449633
812	0.06094553165
813	0.06091296577
814	0.06087368818
815	0.06075776454
816	0.0605295441
817	0.06048196009
818	0.06041633914
819	0.06036772489
820	0.06019942683
821	0.06008208963
822	0.06004454634
823	0.05989005008
824	0.05984444893
825	0.05977579222
826	0.05975086343
827	0.05972004735
828	0.05967246031
829	0.05961069844
830	0.0595433526
831	0.05932744878
832	0.05917835333
833	0.05904069638
834	0.05895465217
835	0.05873227469
836	0.05866646318
837	0.05859174751
838	0.05853819035
839	0.05833297593
840	0.05832124958
841	0.05825902377
842	0.05824089199
843	0.058194774
844	0.05817608375
845	0.05814709856
846	0.05812633577
847	0.05808713615
848	0.05798994434
849	0.05793015347
850	0.05778732217
851	0.05774200797
852	0.0576808831
853	0.05744836464
854	0.05735487494
855	0.05729432465
856	0.05728002566
857	0.05718088294
858	0.05711792408
859	0.0570348809
860	0.05691765582
861	0.05673545342
862	0.05667898559
863	0.05665589849
864	0.05659358884
865	0.0564983743
866	0.05644405515
867	0.05638087189
868	0.0563151385
869	0.05618956559
870	0.05608689703
871	0.05591521427
872	0.05588294431
873	0.05579350289
874	0.05576976302
875	0.05572630474
876	0.05564263995
877	0.05554083542
878	0.05546016618
879	0.0554252943
880	0.05539288279
881	0.05533710403
882	0.0553031782
883	0.05517312141
884	0.05515762298
885	0.05507646186
886	0.05501738477
887	0.05493456843
888	0.05488885482
889	0.05486023472
890	0.05484760941
891	0.05480939088
892	0.05476755869
893	0.05472587173
894	0.05469996951
895	0.05452865119
896	0.05447664743
897	0.05442975756
898	0.05433539876
899	0.05430154169
900	0.05419661159
901	0.05399319116
902	0.05394588548
903	0.05391476149
904	0.05382392239
905	0.05378143738
906	0.05374876301
907	0.05372059424
908	0.05366083662
909	0.05359221445
910	0.0534882603
911	0.05341230317
912	0.0532853555
913	0.05318201342
914	0.05309793486
915	0.05302803627
916	0.0529777898
917	0.05294787766
918	0.05288719606
919	0.05275115374
920	0.05269867726
921	0.05261866338
922	0.05253994963
923	0.052406404
924	0.05233668017
925	0.05224399987
926	0.05216117732
927	0.05211514299
928	0.05205698768
929	0.05198850928
930	0.05198091293
931	0.05192143143
932	0.05181276933
933	0.05176221999
934	0.05173454449
935	0.05159708419
936	0.05151374148
937	0.05147616219
938	0.05145180006
939	0.05140843156
940	0.05133862746
941	0.05129124087
942	0.05124408114
943	0.05122057905
944	0.0511989818
945	0.05117706598
946	0.05112554467
947	0.05110409938
948	0.05108738387
949	0.05102379929
950	0.05093474377
951	0.05087137636
952	0.05076661885
953	0.05061980519
954	0.05047790046
955	0.05040753284
956	0.05032467815
957	0.05027778447
958	0.05023844734
959	0.05020518062
960	0.05013375199
961	0.05000703241
962	0.04993590207
963	0.04986520554
964	0.04979069962
965	0.04976217074
966	0.04965423912
967	0.04961845476
968	0.04956559014
969	0.04951633269
970	0.04946740553
971	0.04942320569
972	0.04941086032
973	0.049332415
974	0.04923234073
975	0.0491696608
976	0.04912621272
977	0.04909026592
978	0.04903925322
979	0.04901861615
980	0.04898282831
981	0.04884376929
982	0.04882900083
983	0.04877930607
984	0.04870522466
985	0.04867538063
986	0.04865464966
987	0.04861679007
988	0.04855278459
989	0.04848319015
990	0.04843852382
991	0.04838940695
992	0.04832692686
993	0.04829264195
994	0.04826720107
995	0.04819608009
996	0.04818074355
997	0.04808197372
998	0.04795729725
999	0.04792525667
